pair,adf_p,beta,tr_sharpe,te_sharpe,te_total,te_trades,te_sharpe_maker
ATOM/FIL,0.03561107729059197,0.3838875759228943,0.36625186137438004,0.39399936825786264,0.3854894185282588,33,0.5259032101392115
ATOM/LINK,0.31113616106910036,0.5101370269463159,-0.42615778379869945,-0.15708781656511098,-0.13444378144715657,28,-0.02378771212371322
ATOM/LTC,0.032852494399508846,0.672643536368954,-0.20950046692058383,0.11641023406314943,0.12988966717885086,35,0.24234729058304802
ATOM/MANA,0.07294802371379978,0.5688361351029952,0.8680378001847014,0.8400780571703237,0.679830914995251,35,1.0088363945362913
ATOM/MKR,0.12423357860756262,0.5031268787699217,-0.12301321578344898,-0.827231108296663,-0.9356904436346362,31,-0.7142546742700606
ATOM/NEAR,0.19190828633567508,0.42232814967091625,0.7392196486960803,0.33050988990968544,0.28602157402312517,34,0.4852109918051709
ATOM/OP,0.25897440045657083,0.08522724142020024,0.4446903316778043,0.26812330688028335,0.2692748608179922,27,0.37399963795938385
ATOM/SAND,0.0013710885365366425,0.7389659084794965,1.5004407416277836,2.036786129781599,2.1607116703489897,30,2.1420983261668725
ATOM/SHIB,5.483925934006694e-05,0.8139479732524877,0.04392880315221263,0.08780828035580199,0.10322765230581465,34,0.20434756369916504
ATOM/SOL,0.1353143983500978,0.4062721292749902,0.6932623886880291,0.7502173183341464,0.8982089391345729,42,0.8861679880120835
ATOM/SUI,0.6135138329842057,-0.07188259615521204,-0.2992613198326966,1.1613693344466476,0.8258283455455695,22,1.278668461507572
ATOM/UNI,0.1651908693838376,0.5018407370469292,0.3418731707768783,0.3446824928347613,0.39062762959902264,42,0.4922078388574854
ATOM/XLM,0.16668687878514038,0.5138430139118919,-0.576434516333409,0.23448172478392332,0.2919660078519403,43,0.37072742483090254
ATOM/XRP,0.6268912850511945,0.1952054987327792,-0.3236042560176,1.2365132147436424,0.788944637335526,20,1.3570222678292292
AVAX/BCH,0.5961135299818416,1.1441426985066798,-0.9178061717038007,0.00885899942436129,0.010806525690527757,35,0.12478490850563641
AVAX/BNB,0.17919852732761726,2.578465494993554,0.01338455701790026,0.21213563222171067,0.346995287876469,31,0.2873200957125529
AVAX/BTC,0.7647771466444386,1.6425216348721396,-0.5682874542215739,-0.04614925126717926,-0.04275520448068926,31,0.08723327546428876
AVAX/COMP,0.08737485343553392,1.2542433888112205,-0.1265253562589585,1.6165057823143583,2.411444634135722,34,1.7025954938209071
AVAX/CRV,0.8310024913433585,0.9226973331934463,0.07049334862490039,-0.2563907956425042,-0.32135214154214076,29,-0.1617787481711572
AVAX/DOGE,0.05301583803430058,1.9800925021525417,0.1716427175379907,-0.051812913707605594,-0.10402251894976655,30,0.007943895750256457
AVAX/DOT,0.08605573145457884,1.264477316468503,0.25872037608179216,0.27838347353007287,0.27971961066829554,33,0.40808582676749316
AVAX/ETC,0.1758915094601856,1.889013943346412,0.37190655384436566,1.3530040224572863,1.8000622691990507,33,1.4460838806780343
AVAX/ETH,0.531246011416455,1.9082887180546517,0.1393197068189816,-0.682745077139152,-0.8347330823220218,33,-0.5720865749679068
AVAX/FET,0.4357351944415481,0.30479174338847875,-0.23848603726635115,-0.6641314712612958,-0.6105026855592147,24,-0.5547581051310904
AVAX/FIL,0.07391263921883909,0.9656216410036579,-0.1375369931049566,0.479484961741811,0.5980675305422726,32,0.5800778216485639
