sym,side,ts,k,v,fwd6,fwd12,fwd24,fwd48,fwd72
ADA,-1,2025-12-25 22:00:00+00:00,5.0,2.0,-222.41478913922475,-254.18833044482892,-92.43212016175617,-681.6868861929515,-644.1363373772391
ADA,-1,2026-01-18 23:00:00+00:00,5.0,2.0,338.5763796320973,226.60623833644422,183.95094641428855,490.5358571047713,210.61050386563474
ADA,-1,2026-01-21 16:00:00+00:00,5.0,2.0,-532.52734599885,-515.2561888313189,-423.1433506044913,-521.013241220496,-322.39493379389694
ADA,-1,2026-02-28 06:00:00+00:00,5.0,2.0,-305.57677616501076,-511.8411000763956,-798.3193277310941,-332.3147440794516,-259.74025974025983
ADA,1,2025-07-10 17:00:00+00:00,5.0,2.0,240.37730108017686,483.79735280693836,1317.5110299710946,731.7815305035747,1349.4599117602313
ADA,1,2025-08-22 14:00:00+00:00,5.0,2.0,377.2958619163513,-33.19318433281704,126.1341004647032,-61.96061075459225,-430.40495684886105
ADA,1,2025-09-01 07:00:00+00:00,5.0,2.0,-293.59112065878935,-521.5419501133778,-192.14703425229794,-94.28332736603484,-264.9480844969565
ADA,1,2025-12-02 15:00:00+00:00,5.0,2.0,184.53632328895077,280.30833917308985,200.88764307404804,436.81382854473316,-336.370007007708
ADA,1,2026-01-02 16:00:00+00:00,5.0,2.0,141.3518375738887,97.66126959650512,-25.700334104343803,349.52454381906864,637.3682857877138
ADA,1,2026-02-20 15:00:00+00:00,5.0,2.0,-138.2647770480472,-214.31040442447258,-307.6391289319047,-632.561354994815,-808.8489457310743
ADA,1,2026-03-23 11:00:00+00:00,5.0,2.0,119.64492473948152,34.73562331146374,150.52103434967324,594.3651099961422,-54.033191817831614
ADA,1,2026-04-07 22:00:00+00:00,5.0,2.0,-15.220700152205335,-197.86910197869045,-464.2313546423127,-338.6605783866048,-334.8554033485529
BNB,-1,2025-10-10 21:00:00+00:00,5.0,2.0,-213.8629157572347,-172.09632364168837,-285.0906739241732,-1561.2621594675447,-1603.0287515830887
BNB,-1,2026-01-06 17:00:00+00:00,5.0,2.0,-186.29922141936817,-247.46541197557815,-49.963591553241486,45.594577942081884,-38.20086260012179
BNB,-1,2026-01-29 15:00:00+00:00,5.0,2.0,-40.385104954985266,155.407438265176,155.9860214307196,822.9766946700922,1277.743062787845
BNB,1,2025-07-10 21:00:00+00:00,5.0,2.0,64.36358859845059,66.69877548637571,19.119342644891013,0.0,82.02343943838785
BNB,1,2025-09-10 13:00:00+00:00,5.0,2.0,-140.15951856809482,-147.68189209818928,-49.22729736606346,56.41780147571218,361.51642200515477
BTC,-1,2025-08-14 12:00:00+00:00,5.0,2.0,78.23879408926038,15.491247571340905,94.45369581113638,105.24119140399857,37.54586999637266
